,fleet,problem_log,corrective_action,delay_code,station_delay_minutes,d&c_category,ata4_code,ata4_desc
6716,A320-232,"AFT PIT ACTUATORS INOP WILL NOT MAINTAIN P RESSURE DOOR WILL NOT OPEN PAST OVER CENTER POSITION BY- 105576 :T-S AFT PIT DOOR ISSUE, MANUAL HYD PUMP IS BYPASSING,ON ORDER AOG, REF IPC-52-36-11-01, PG 02 OF 02 , ITEM-001. AMM52-35-11-000-001-A, PG 5 OF 5. CONT OF AMIS ITEM 2692001", :DOOR OPERATION NORMAL WIT H HAND PUMP,TA,2,Delay 0-5mins,2550,ADDITIONAL COMPARTMENTS
6781,A320-232,ACCOMPLISH RII INSPECTION OF AMIS ITEM 5682012 :REPLACED RIGHT AFT ESCAPE SLIDE PER MM25-62-44-400-006-A., :VERIFIED PN= AND INSTALLA TION PER AMM,TA,40,Delay>15mins,2520,PASSENGER COMPARTMENT
7385,A320-232,22DEC BZN DF -Q : CREW REPORT: SEATBELT AT 34E IS COVERED WITH BABY VOMIT SAMC TEXT: W.O. 15122224," :REMOVED SOILED SEAT BELTS, DEF SEA T PER MEL, INSTALLED PLACARD \DO NOT OCCUPY\. BERG TOMC.",TA,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
7441,A320-232,F-O SIDE HAND HOLDABOVE WINDSCREEN ENTIRE PANEL AND HANDHOLD LOOSE, :REMOVED AND RESECURED O-H PANELS,TA,51,Delay>15mins,2510,FLIGHT COMPARTMENT EQUIPMENT
7569,A320-232,DOOR.1R.DEMO EQUIPMENTBAG MISSING EQUIP., :REPLACED MISSING DEMO EQU IPMENT FROM DOOR 1R.,TA,4,Delay 0-5mins,2510,FLIGHT COMPARTMENT EQUIPMENT
7634,A320-232,FWD GALLEY GARBAGE DOOR FLAP HANDLE WONT STAYCLOSED., :SECURED DOOR FOR AFT LAV TRASH DOOR NOT FWD.,TA,5,Delay 0-5mins,2530,GALLEYS
7715,A320-232,SCREW IS MISSING ONLEFT PANEL ...IN FRONTOF CAP TILLER, :SECURED FASTENER.REF IPC 25-13-01-14D.,TA,130,Delay>15mins,2510,FLIGHT COMPARTMENT EQUIPMENT
7719,A320-232,09SEP IAH DF -T :FWD GALLEY RED SHELFLATCH BROKEN., :SECONDARY LATCH IS BROKEN . PLACED FWD GALLEY WORK TABLE ON DF PER MEL 2522EF. INSTALLED S TICKER. REMOVED TABLE AND PUT IN RON HOLD.DF525. ¬09SEP IAH INF- :WILL NEED NEW INSERT INST ALLED FOR SECONDARY LATCH. ¬09SEP IAH INF- :REF IPC 25-31-01-07C.,TF,6,Delay 6-15mins,2530,GALLEYS
7950,A320-232,OVERHEAD PANEL FRONTCOCKPIT DOOR LOOSE PROG TEXT: CNX ITEM PER ORDFO LOFMAN SD, :SECURED PANEL,TA,3,Delay 0-5mins,2510,FLIGHT COMPARTMENT EQUIPMENT
8025,A320-232,16JUN EWR DF -T :RAMP REPORT FWD NESTING INOP. BY- 106610, :COMPLIED WITH MEL.,TA,131,Delay>15mins,2550,ADDITIONAL COMPARTMENTS
8595,A320-232,18AUG ORD DF -T :OVERHEAD BIN 7ABCWILL NOT LATCH., :RENDERED OOVERHEAD BIN IN OP AT 7ABC PER MEL 25151,TL,22,Delay>15mins,2520,PASSENGER COMPARTMENT
8707,A320-232,10JUL EWR DF -T :BOTTOM LATCH ON TRASHBIN ON GALLEY 401 ISBROKEN, :COMPLIED WITH MEL. FORWARD GALLEY TRASH BIN DOOR 104 LOWER LATCH SPRING IS INOP BUT STILL WILL LATCH. UPPER LATCH IS NORMAL AND DOOR IS CLOSED AND SECURE. TAPED OVER AND PLACARDED WASTE BIN RECEPTACLE \INOP DO NOT USE\. ¬11JUL SAT INF- :LATCH STICKING. NEEDS LAT CH PCN 028-5026,TF,18,Delay>15mins,2530,GALLEYS
8849,A320-232,19DEC ORD CF -T :CAPT CUBBY HOLE WHERETHE HEADSET PLUGS INIS NOT SECURE., :PERFORMED INTERIM REPAIR PNL. SECURED. REF GMM 05-30-06. AND IPC 25-13-01 -01A.,TA,17,Delay>15mins,2510,FLIGHT COMPARTMENT EQUIPMENT
8854,A320-232,TRASH LID IN REAR GALLY IS STUCK CLOSED," :SECURED HARDWARE TO REALI GN LID, OPS NORMAL",TL,1,Delay 0-5mins,2530,GALLEYS
8973,A320-232,19NOV IAH DF -T :AFT GALLEY COMPARTMENT SLIDING DOOR MISSING," :PLACED AFT GALLEY COMPT D OOR ON DF, MISSING. ¬19NOV OPB INF- :NEXT STA, PLS ID ALL PARTS REQ TO RETURN TO PROPER CONFIGURATION.",TF,25,Delay>15mins,2530,GALLEYS
8976,A320-232,DOOR PRESSR GAUGE AT1L IS LOW, :CHECKED BOTTLE PRESSURE PER AMM 25-62-00. BOTTLE PRESSURE OK.,TA,4,Delay 0-5mins,2560,EMERGENCY EQUIPMENT   
9221,A320-232,RIGHT PILOT TABLE HAS A TRIM PIECE READY TO FALL OFF ON THE FRONT. NEEDS REATTACHMENT., :TIGHTEND SCREW ON FIRST OFFICERS SLIDING TABLE END CAP.,TA,11,Delay 6-15mins,2510,FLIGHT COMPARTMENT EQUIPMENT
9222,A320-232,07JUN DCA DF -T :L AFT CABIN DISPLAYED ON UPPER ECAM SCREEN. - DOOR CREW COMMENTS: DURING CRUISE GOT OCCNL DOOR L AFT CABIN ECAMS :COMPLIED WITH MEL INSTRUC TIONS,"¬10JUN SFO RDF-R :ADJUSTED L AFT DOOR PROX SENSOR 15WV1, INDICATION CHECKS GOOD ON GROUND REOPENED BY OPBLM CHRISTENSEN ROGER ON 10JUN15 FOR: FAULT REOCCURRED",TF,26,Delay>15mins,2520,PASSENGER COMPARTMENT
9307,A320-232,05JUL YVR DF -Q :SECURITY KIT AND - OR ASSOCIATED EQUIPMENT INCOMPLETE OR MISSING. SAMC TEXT: *UPDATE* MEL 2565E APPLIED WITH FLT CREW. TOMC HILL. : DEFERRED PER SAMC,¬05JUL SFO RPL- :REPLACED SECURITY KIT.,TM,11,Delay 6-15mins,2560,EMERGENCY EQUIPMENT   
9368,B737-700,WINDOW SHADE AT 27A DOES NOT CLOSE.,REPOSITIONED SHADE AT 27A CKS GOOD.,TL,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9369,B737-700,WATER LEAKING F/C GALLEYBLOCK #4 INVALID EMP# 143943,CYCLED BREW CYCLE - NO LEAKS NOTED.,TL,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9370,B737-700,DOOR 2L SLIDE IS FALLING OUT OF DOOR COVER.ENTERED INTO SCEPTRE FOR INVALID EMPLOYEE #U234597.,"REPLACED L-2 DOOR SLIDE ASSY REF BOEING 737-7/8/9 AMM25-66-01-400-801.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1711902  SN OFF 00622SLIDE, B737NG,   OFF 29-2561-9-0004 3622 ON 29-2561-9-0004 3339",TS,30,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9371,B737-700,DOOR 2L GIRT BAR HAS AN UNFAMILIAR STRAP HANGING LOOSE.,"REPLACED DR 2L SLIDE EMERGENCY. REF AMM 25-66-01-400-801,25-66-01-400-803. TIM VICKERY U093019.    RII BY 181404.ROTABLE PARTS CHANGE WAS INDICATED - TT # 1711403  SN OFF 00339IPC REFERENCE #SLIDE, B737NG,   OFF 29-2561-9-0004 3339 ON 29-2561-9-0004 3502",TU,252,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9372,B737-700,EMERGENCY LOCATOR TRANSMITTER(ELT) @1L PLACARD IS MARKED UP.,REMOVED AND REPLACED ELT PLACARD AS REQUIRED,TF,56,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9421,B737-700,*FOR DELAY REPORTING PURPOSES ONLY*,JUF SENT,TL,4,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
9422,B737-700,AFT GALLEY COFFEE MAKER LEAKING.ENTERED INTO SCEPTRE FOR EMPLOYEE #0080038.,STOPPED WATER LEAKING FROM HOT WATER TANK VENT.  COFFEEMAKEROPS CHECK NORMAL.,TL,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9423,B737-700,SEAT CUSHION 7FWETWROTE BY B5091U333039 FOR SCEPTRE ENTRY ONLY,"REMOVED AND REPLACED CUSHIONS 7DEF, A/C OK FOR SERVICE.",TF,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9424,B737-700,FWD CARGO AFT NET MISSING 1EA. UPPER LATCH.,"REMOVED & INSTALLED SERVICEABLE FWD CARGO AFT NET.OPS CHECK GOOD, NO FAULTS NOTED,  DIP CLOSED.",TL,16,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9425,B737-700,WIRE COMING OUT OF SLIDE AT DOOR 1L WHEN DOOR CLOSED,FOUND LANDYARD DETATCHED FROM GIRT BAR REATTACHED (RESTOWED) A/C OK TO CONTINUE,TL,55,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9426,B737-700,RIGHT AFT LAV DOOR FELL OFF HINGE.,RESECURED DOOR AT RIGHT AFT LAV. OPS-CHECK NORMAL.,TL,4,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
9427,B737-700,SEAT ROW 32B LIFE VEST BOX FELL FROM SEAT,INSTALLED LIFEVEST BOX AND SINGLE CELL LIFE VEST ON SEAT 32BMEL REMOVED.,TL,12,Delay 6-15mins,2520,PASSENGER COMPARTMENT
9428,B737-700,AFT RIGHT COFFEE MAKER LEAKING,R AND R COFFEEMAKER OPS CK GOOD NO LEAKAGE NOTED REF AMM 25-30-00,TA,12,Delay 6-15mins,2530,GALLEYS
9429,B737-700,SLIDE PACK AT 1R HAS LOOSE WIRE HANGING OUT ON LEFT SIDE,"R&R 1R SLIDE PACK PER TASK 25-66-01-400-803 AND TASK 25-66-01-000-801ROTABLE PARTS CHANGE WAS INDICATED - TT # 1672461  SN OFF 03312SLIDE, B737NG,   OFF 29-2561-9-0003 3312 ON 29-2561-9-0003 3342",TA,76,Delay>15mins,2560,EMERGENCY EQUIPMENT   
9485,B737-700,BOTH LAV DOORS IN REAR CABIN DO NOT CLOSE WHEN EXITING.,"REPLACED CENTER HINGE, OPS CHECKS OK.",TF,30,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9486,B737-700,TRAY TABLE 29A INOP.,REPLACED TRAY TABLE LATCH @ 29A. OPS CK GOOD.REINSTALLED TRAY TABLE. PLACARD REMOVED.,TF,2,Delay 0-5mins,2500,EQUIPMENT FURNISHINGS GENERAL
9487,B737-700,AFT ENTRY DOOR L-2 DOOR SILDE ASSY.REMOVED.SAFTEY PIN INSTALLED TO PERFORM MX REF LOG 8022631,INSTALLED AFT ENRTY DOOR SLIDE ASSY. REF AMM 25-66-01-400-803.SAFTEY PIN REMOVED & STOWED WITH SIDE. IDT BY EMP#09555,TA,0,Cancellation,2500,EQUIPMENT FURNISHINGS GENERAL
9488,B737-700,F/O FWD/AFT SEAT ADJUSTMENT LEVEL HAS A BROKEN TENSIONSPRING,REMOVED SEAT F/O SIDE TO REPLACE FWD AND AFT HANDLE SPRINGSPER AMM 25-11-51-400-001 SEAT OPS CKS NORMAL,TA,61,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9489,B737-700,F/O SEAT WONT ADJUST UP OR DOWN,"REMOVED AND REPLACED F/O SEAT I.A.W. A.M.M. 25-11-01-400-801 AND INSTALLED PER A.M.M. 25-11-01-000-801 OPS CHK NORMALROTABLE PARTS CHANGE WAS INDICATED - TT # 1555621  SN OFF 09856SEAT, CREW, 1ST  OFF 29-2511-9-0001 9856 ON 29-2511-9-0002 7473",TA,52,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9490,B737-700,COFFEE MAKER 420 WILL NOT SHUTOFF.,"REPLACED COFFEE MAKER BY U046390 MENGLERTROTABLE PARTS CHANGE WAS INDICATED - TT # 1886828  SN OFF 02599COFFEEMAKER, A/  OFF 29-2599-9-0001 0177 ON 29-2599-9-0001 5906",TF,20,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9541,B737-700,COIN FLOORING UNDER COCKPIT DOOR IS TORN.(ENTERED FOR EMP#10289),PERFORMED LOINCOIN PERMANENT REPAIR AT COCKPIT ENTRY HALLWAY ASPER  ECRA 2533-01009 REV A OK TO CONTINUE,TF,10,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9542,B737-700,30D PLASTIC AISLE TRIM STICKING OUT AND DAMAGED.ITEM ENTERED FOR FILE#168080,REMOVED AND REPLACED 30D AISLE TRIM OPS CK OK,TF,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9543,B737-700,"SEAT CUSHION 12B NEEDS TO BE REPLACED . LOG ENTERED BY G024193, SCEPTRE COMPUTER INDICATES EMPLOYEE NUMBER IS INVALID.",REPLACED CUSHION AND COVER,TL,12,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9544,B737-700,AED INDICATOR NOT VISIBLE.,"REPOSITION AED AND VISIBLE, IAW AMM 25-64-01, OK FOR SERVICE, SECURITY SEAL APPLIED.  AIRDYNE AERO SERVICES CONTRACT MECH FAANUMBER 3083370....BLOCK 13 EMPLOYEE NUMBER IS V897681 BUT SHOWS INVALID.  U181116 ENTERED FOR ELECTRONIC SCEPTRE ONLY.",TA,24,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9545,B737-700,#211 BIG QUARTER TURN.,"COMPLIED WITH MEL,CART IS TO REMAIN EMPTY.",TF,20,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9546,B737-700,SEAT 27C NEEDS NEW SEAT CUSHION COVER,REPLACED 27C SEAT CUSHION. CONTRACT MECH FAA # 367437.BLOCK 13 EMPLOYEE # 3637437 SHOWS INVALID. ENTERED BY U085236,TA,6,Delay 6-15mins,2520,PASSENGER COMPARTMENT
9547,B737-700,SEAT CUSHION 24F NEEDS REPLACED.,R&R SEAT BOTTOM AND COVER IAW AMM 25-20-00. (24F),TL,20,Delay>15mins,2520,PASSENGER COMPARTMENT
9593,B737-700, REMOVED R2 SLIDE FROM DOOR AND REMOVED SLIDE FROM SLIDEPACK IAW AMM 25-66-01-000-801,"PERFORMED SLIDE PACK CHECK IAW AMM 25-66-00-200-802, NO DAMAGENOTED. INSTALLED INTO PACK AND REINSTALLED ON A/C IAW AMM 25-66-01-400-804. FORM 46-0035 COMPLETED.",TA,6,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9594,B737-700,GLARSHIELD ON CAPTAIN SIDE NEEDS SECURING BY V154600,RESECURED GLARESHIELD,TA,14,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9595,B737-700,1B SEAT BACK BROKEN.,RESECURED LOOSED BOLT. CHECKS GOOD.,TA,55,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9596,B737-700,CHELSEA R 1 SLIDE GIRT BAR FELL OUT OF RETAINER CLIPS.,VISUALLY INSPECTED SLIDE FOR SECURITY- NO FAULTS NOTED; OK FORSERVICE; REF. AMM TASK 25-66-01-200-802. RII 05763.,TA,32,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9597,B737-700,REF L/P 8262062 L-1 DOOR GIRT BAR RETAINING BRACKET LOOSE.,COMPLIED WITH ECRA 2560-02837 PART 3 PERMANENT REPAIR,TF,111,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9598,B737-700,FWD COAT CLOSET DOOR HAS REINFORCEMENT STRIP TORN LOOSE BEHINDOPERATING HANDLE.,REPLACED FWD CLOSET DOOR. RMVD FROM MEL.,TF,26,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9599,B737-700,OUTB IN FLIGHT REPORTS R2 DOOR SLIDE PACK COVER IS NOT FLUSH WITH DOOR.,REF LP 4949637.  REMOVED SLIDE PACK FROM DOOR AND INSPECTED FOR DAMAGE.  NONE NOTED.  REINSTALLED SLIDE PACK PER AMM 25-66-01.  CHECKS GOOD.,TA,131,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9600,B737-700,CABLE IS LOOSE FROM SLIDE AT DOOR IL.,FOUND CABLE FITTING OUT OF AFT LOOP ON LOWER DOOR. RE-INSTALLEDFITTING THRU LOOP AND SECURED WITH STRING IAW M.M25-66-01-400-804. INSPECTED BY U166250.,TL,27,Delay>15mins,2560,EMERGENCY EQUIPMENT   
9601,B737-700,1 POB WAS USED FROM THE A/C BACK.,REPLACED POB BOTTLE.,TA,5,Delay 0-5mins,2560,EMERGENCY EQUIPMENT   
9652,B737-700,FOR TDR PURPOSES ONLY38C DIRTY SEAT CUSHION,R&R 38C SEAT CUSHION. CHECKED GOOD.,TA,7,Delay 6-15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9653,B737-700,REF LOG PG 7993618 CK TAPE SECURITY ON CEILING PNL AFT OF FLT DECK DOOR PER ECRA 2500-03978 PART 2.,"ACCOMPLISHED CK OF TAPE SECURITY ON CEILING PNL.REF ECRA 2500-03978 PART 2, FOUND SECURE ONE TIME AW A005552",TF,29,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9654,B737-700,WINDOW SHADE 29A INOP,REPAIRED WINDOW SHADE AT SEAT 29A,TA,88,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
9655,B737-700,"OVERHEAD BIN OVER ROW 8 AIRCRAFT LEFT, IS BROKEN.",INSTALLED OVERHEAD BIN DOOR IAW B737 AMM 25-24-36,TF,18,Delay>15mins,2500,EQUIPMENT FURNISHINGS GENERAL
