,fleet,problem_log,corrective_action,delay_code,station_delay_minutes,d&c_category,ata4_code,ata4_desc
6506,A320-232,26dec cle df t 22e will not stayupright prog text item rolled forward , placarded seat 22e block ed seats 23e and 23f per ddp 27dec opb cqt seat 22e secured upright seats 23e and 23f are now usable changing mel to 2521z for rec line function at seat 22e inop tomc krown 26dec15 27dec ord inf locked seat back in the upright position seat recline is not functioinal seat is usabl e seat 21e and 23e are usable ,TA,67,Delay>15mins,2500,equipment furnishings general
6512,A320-232,trim piece missing belowsecond jumpseat, item not required ref am m 25 66 00 and amm 25 66 52 920 001 a ,TA,35,Delay>15mins,2560,emergency equipment
6716,A320-232,aft pit actuators inoperable will not maintain p ressure door will not open past over center position by 105576 t s aft pit door issue manual hyd pump is bypassing on order aog ref ipc 52 36 11 01 pg 02 of 02 item 001 amm52 35 11 000 001 a pg 5 of 5 cont of amis item 2692001, door operation normal wit h hand pump,TA,2,Delay 0-5mins,2550,additional compartments
6781,A320-232,accomplish rii inspection of amis item 5682012 replaced right aft escape slide per mm25 62 44 400 006 a , verified pn and installa tion per amm,TA,40,Delay>15mins,2520,passenger compartment
7385,A320-232,22dec bzn df q crew report seatbelt at 34e is covered with baby vomit samc text w o 15122224, removed soiled seat belts def sea t per mel installed placard do not occupy berg tomc ,TA,14,Delay 6-15mins,2500,equipment furnishings general
7441,A320-232,f o side hand holdabove windscreen entire panel and handhold loose, removed and resecured o h panels,TA,51,Delay>15mins,2510,flight compartment equipment
7569,A320-232,door 1r demo equipmentbag missing equip , replaced missing demo equ ipment from door 1r ,TA,4,Delay 0-5mins,2510,flight compartment equipment
7634,A320-232,fwd galley garbage door flap handle wont stayclosed , secured door for aft lavatory trash door not fwd ,TA,5,Delay 0-5mins,2530,galleys
7715,A320-232,screw is missing onleft panel in frontof cap tiller, secured fastener ref ipc 25 13 01 14d ,TA,130,Delay>15mins,2510,flight compartment equipment
7719,A320-232,09sep iah df t fwd galley red shelflatch broken , secondary latch is broken placed forward galley work table on df per mel 2522ef installed s ticker removed table and put in ron hold df525 09sep iah inf will need new insert inst alled for secondary latch 09sep iah inf ref ipc 25 31 01 07c ,TF,6,Delay 6-15mins,2530,galleys
7950,A320-232,overhead panel frontcockpit door loose prog text cnx item per ordfo lofman sd, secured panel,TA,3,Delay 0-5mins,2510,flight compartment equipment
8025,A320-232,16jun ewr df t ramp report forward nesting inop by 106610, complied with mel ,TA,131,Delay>15mins,2550,additional compartments
8595,A320-232,18aug ord df t overhead bin 7abcwill not latch , rendered ooverhead bin in op at 7abc per mel 25151,TL,22,Delay>15mins,2520,passenger compartment
8707,A320-232,10jul ewr df t bottom latch on trashbin on galley 401 isbroken, complied with mel forward galley trash bin door 104 lower latch spring is inoperable but still will latch upper latch is normal and door is closed and secure taped over and placarded waste bin receptacle inop do not use 11jul sat inf latch sticking needs lat ch pcn 028 5026,TF,18,Delay>15mins,2530,galleys
8849,A320-232,19dec ord cf t capt cubby hole wherethe headset plugs inis not secure , performed interim repair pnl secured ref gmm 05 30 06 and ipc 25 13 01 01a ,TA,17,Delay>15mins,2510,flight compartment equipment
8854,A320-232,trash lid in rear galley is stuck closed, secured hardware to reali gn lid ops normal,TL,1,Delay 0-5mins,2530,galleys
8973,A320-232,19nov iah df t aft galley compartment sliding door missing, placed aft galley compartment d oor on df missing 19nov opb inf next sta pls id all parts required to return to proper configuration ,TF,25,Delay>15mins,2530,galleys
8976,A320-232,door pressr gauge at1l is low, checked bottle pressure per amm 25 62 00 bottle pressure ok ,TA,4,Delay 0-5mins,2560,emergency equipment
9221,A320-232,right pilot table has a trim piece ready to fall off on the front needs reattachment , tightend screw on first officers sliding table end cap ,TA,11,Delay 6-15mins,2510,flight compartment equipment
9222,A320-232,07jun dca df t l aft cabin displayed on upper ecam screen door crew comments during cruise got occnl door l aft cabin ecams complied with mel instruc tions, 10jun sfo rdf r adjusted l aft door prox sensor 15wv1 indication checks good on ground reopened by opblm christensen roger on 10jun15 for fault reoccurred,TF,26,Delay>15mins,2520,passenger compartment
9307,A320-232,05jul yvr df q security kit and or associated equipment incomplete or missing samc text update mel 2565e applied with flightcrew tomc hill deferred per samc, 05jul sfo rpl replaced security kit ,TM,11,Delay 6-15mins,2560,emergency equipment
9368,B737-700,window shade at 27a does not close ,repositioned shade at 27a checks good ,TL,6,Delay 6-15mins,2500,equipment furnishings general
9369,B737-700,water leaking f c galleyblock 4 invalid emp 143943,cycled brew cycle no leaks noted ,TL,10,Delay 6-15mins,2500,equipment furnishings general
9370,B737-700,door 2l slide is falling out of door cover entered into sceptre for invalid employee u234597 ,replaced l 2 door slide assembly ref boeing 737 7 8 9 amm25 66 01 400 801 rotable parts change was indicated tt 1711902 sn off 00622slide b737ng off 29 2561 9 0004 3622 on 29 2561 9 0004 3339,TS,30,Delay>15mins,2500,equipment furnishings general
9371,B737-700,door 2l girt bar has an unfamiliar strap hanging loose ,replaced dr 2l slide emergency ref amm 25 66 01 400 801 25 66 01 400 803 tim vickery u093019 rii by 181404 rotable parts change was indicated tt 1711403 sn off 00339ipc reference slide b737ng off 29 2561 9 0004 3339 on 29 2561 9 0004 3502,TU,252,Delay>15mins,2500,equipment furnishings general
9372,B737-700,emergency locator transmitter elt 1l placard is marked up ,removed and replaced elt placard as required,TF,56,Delay>15mins,2500,equipment furnishings general
9421,B737-700, for delay reporting purposes only ,juf sent,TL,4,Delay 0-5mins,2500,equipment furnishings general
9422,B737-700,aft galley coffee maker leaking entered into sceptre for employee 0080038 ,stopped water leaking from hot water tank vent coffeemakerops check normal ,TL,6,Delay 6-15mins,2500,equipment furnishings general
9423,B737-700,seat cushion 7fwetwrote by b5091u333039 for sceptre entry only,removed and replaced cushions 7def a c okay for service ,TF,14,Delay 6-15mins,2500,equipment furnishings general
9424,B737-700,fwd cargo aft net missing 1ea upper latch ,removed installed serviceable forward cargo aft net ops check good no faults noted dip closed ,TL,16,Delay>15mins,2500,equipment furnishings general
9425,B737-700,wire coming out of slide at door 1l when door closed,found landyard detatched from girt bar reattached restowed a c okay to continue,TL,55,Delay>15mins,2500,equipment furnishings general
9426,B737-700,right aft lavatory door fell off hinge ,resecured door at right aft lav ops check normal ,TL,4,Delay 0-5mins,2500,equipment furnishings general
9427,B737-700,seat row 32b life vest box fell from seat,installed lifevest box and single cell life vest on seat 32bmel removed ,TL,12,Delay 6-15mins,2520,passenger compartment
9428,B737-700,aft right coffee maker leaking,r and r coffeemaker ops check good no leakage noted ref amm 25 30 00,TA,12,Delay 6-15mins,2530,galleys
9429,B737-700,slide pack at 1r has loose wire hanging out on left side,r r 1r slide pack per task 25 66 01 400 803 and task 25 66 01 000 801rotable parts change was indicated tt 1672461 sn off 03312slide b737ng off 29 2561 9 0003 3312 on 29 2561 9 0003 3342,TA,76,Delay>15mins,2560,emergency equipment
9485,B737-700,both lavatory doors in rear cabin do not close when exiting ,replaced center hinge ops checks ok ,TF,30,Delay>15mins,2500,equipment furnishings general
9486,B737-700,tray table 29a inop ,replaced tray table latch 29a ops check good reinstalled tray table placard removed ,TF,2,Delay 0-5mins,2500,equipment furnishings general
9487,B737-700,aft entry door l 2 door silde assy removed saftey pin installed to perform mx ref log 8022631,installed aft enrty door slide assy ref amm 25 66 01 400 803 saftey pin removed stowed with side idt by emp 09555,TA,0,Cancellation,2500,equipment furnishings general
9488,B737-700,f o fwd aft seat adjustment level has a broken tensionspring,removed seat f o side to replace forward and aft handle springsper amm 25 11 51 400 001 seat ops checks normal,TA,61,Delay>15mins,2500,equipment furnishings general
9489,B737-700,f o seat wont adjust up or down,removed and replaced f o seat i a w a m m 25 11 01 400 801 and installed per a m m 25 11 01 000 801 ops check normalrotable parts change was indicated tt 1555621 sn off 09856seat crew 1st off 29 2511 9 0001 9856 on 29 2511 9 0002 7473,TA,52,Delay>15mins,2500,equipment furnishings general
9490,B737-700,coffee maker 420 will not shutoff ,replaced coffee maker by u046390 menglertrotable parts change was indicated tt 1886828 sn off 02599coffeemaker a off 29 2599 9 0001 0177 on 29 2599 9 0001 5906,TF,20,Delay>15mins,2500,equipment furnishings general
9541,B737-700,coin flooring under cockpit door is torn entered for emp 10289 ,performed loincoin permanent repair at cockpit entry hallway asper ecra 2533 01009 rev a okay to continue,TF,10,Delay 6-15mins,2500,equipment furnishings general
9542,B737-700,30d plastic aisle trim sticking out and damaged item entered for file 168080,removed and replaced 30d aisle trim ops check ok,TF,6,Delay 6-15mins,2500,equipment furnishings general
9543,B737-700,seat cushion 12b needs to be replaced log entered by g024193 sceptre computer indicates employee number is invalid ,replaced cushion and cover,TL,12,Delay 6-15mins,2500,equipment furnishings general
9544,B737-700,aed indicator not visible ,reposition aed and visible iaw amm 25 64 01 okay for service security seal applied airdyne aero services contract mech faanumber 3083370 block 13 employee number is v897681 but shows invalid u181116 entered for electronic sceptre only ,TA,24,Delay>15mins,2500,equipment furnishings general
9545,B737-700, 211 big quarter turn ,complied with mel cart is to remain empty ,TF,20,Delay>15mins,2500,equipment furnishings general
9546,B737-700,seat 27c needs new seat cushion cover,replaced 27c seat cushion contract mech faa 367437 block 13 employee 3637437 shows invalid entered by u085236,TA,6,Delay 6-15mins,2520,passenger compartment
9547,B737-700,seat cushion 24f needs replaced ,r r seat bottom and cover iaw amm 25 20 00 24f ,TL,20,Delay>15mins,2520,passenger compartment
9593,B737-700,removed r2 slide from door and removed slide from slidepack iaw amm 25 66 01 000 801,performed slide pack check iaw amm 25 66 00 200 802 no damagenoted installed into pack and reinstalled on a c iaw amm 25 66 01 400 804 form 46 0035 completed ,TA,6,Delay 6-15mins,2500,equipment furnishings general
9594,B737-700,glarshield on captain side needs securing by v154600,resecured glareshield,TA,14,Delay 6-15mins,2500,equipment furnishings general
9595,B737-700,1b seat back broken ,resecured loosed bolt checks good ,TA,55,Delay>15mins,2500,equipment furnishings general
9596,B737-700,chelsea r 1 slide girt bar fell out of retainer clips ,visually inspected slide for security no faults noted okay forservice ref amm task 25 66 01 200 802 rii 05763 ,TA,32,Delay>15mins,2500,equipment furnishings general
9597,B737-700,ref l p 8262062 l 1 door girt bar retaining bracket loose ,complied with ecra 2560 02837 part 3 permanent repair,TF,111,Delay>15mins,2500,equipment furnishings general
9598,B737-700,fwd coat closet door has reinforcement strip torn loose behindoperating handle ,replaced forward closet door rmvd from mel ,TF,26,Delay>15mins,2500,equipment furnishings general
9599,B737-700,outb in flight reports r2 door slide pack cover is not flush with door ,ref lp 4949637 removed slide pack from door and inspected for damage none noted reinstalled slide pack per amm 25 66 01 checks good ,TA,131,Delay>15mins,2500,equipment furnishings general
9600,B737-700,cable is loose from slide at door il ,found cable fitting out of aft loop on lower door re installedfitting thru loop and secured with string iaw m m25 66 01 400 804 inspected by u166250 ,TL,27,Delay>15mins,2560,emergency equipment
9601,B737-700,1 pob was used from the a c back ,replaced pob bottle ,TA,5,Delay 0-5mins,2560,emergency equipment
9652,B737-700,for tdr purposes only38c dirty seat cushion,r r 38c seat cushion checked good ,TA,7,Delay 6-15mins,2500,equipment furnishings general
9653,B737-700,ref log pg 7993618 check tape security on ceiling pnl aft of flightdeck door per ecra 2500 03978 part 2 ,accomplished check of tape security on ceiling pnl ref ecra 2500 03978 part 2 found secure one time aw a005552,TF,29,Delay>15mins,2500,equipment furnishings general
9654,B737-700,window shade 29a inop,repaired window shade at seat 29a,TA,88,Delay>15mins,2500,equipment furnishings general
9655,B737-700,overhead bin over row 8 aircraft left is broken ,installed overhead bin door iaw b737 amm 25 24 36,TF,18,Delay>15mins,2500,equipment furnishings general
9656,B737-700,emerg slide at door 2l is extending out of housing,removed and replaced door 2l escape slide pack ref amm 25 66 01 400 804rotable parts change was indicated tt 1805674 sn off 03461slide b737ng off 29 2561 9 0004 3461 on 29 2561 9 0004 3342,TA,132,Delay>15mins,2500,equipment furnishings general
9657,B737-700,first officers oxygen mask harness will not inflate,reinstalled f o o2 mask with observers replaced f o o2 maskleak check and op s check normal rotable parts change was indicated tt 1768287 sn off 04340mask oxygen c off 99 3512 9 9001 4340 on 99 3512 9 9001 2769,TA,8,Delay 6-15mins,2500,equipment furnishings general
9658,B737-700,5 inch rubber seal come off the bulkhead around 2l,secured aft galley interior rubber seal by bulkhead 2l per amm 25 31 00op check ok,TA,190,Delay>15mins,2530,galleys
9659,B737-700,r 2 slide not tucked into cover,removed and replaced r 2 slide assembly ref amm 25 66 01rotable parts change was indicated tt 1720200 sn off 00537ipc reference slide b737ng off 29 2561 9 0004 3537 on 29 2561 9 0004 3156,TN,187,Delay>15mins,2560,emergency equipment
9696,B737-700,verbal from flightattn 30d tray table falls down ,secured 30d tray table latch ,TL,5,Delay 0-5mins,2500,equipment furnishings general
9697,B737-700,captain seat height adjustment inop wire sheared to adjustment lever,removed and replaced captains seat per amm 25 11 01 400 801 ops check good ipc ref 25 11 01 50a rotable parts change was indicated tt 1556902 sn off 01953seat crew cap off 29 2510 9 0001 1953 on 29 2510 9 0001 1023,TF,18,Delay>15mins,2500,equipment furnishings general
9698,B737-700,aft cargo netting 1 net anchor is broke ,replaced aft cargo net log closed work performed by 86329,TF,20,Delay>15mins,2500,equipment furnishings general
9699,B737-700,capt seat vertical lock only in one pos ,replaced vertical adjustment spring on ca s seat as required ops check good ref ipc 25 11 01 53,TF,18,Delay>15mins,2500,equipment furnishings general
9700,B737-700,on board wheel chair restraint strap is broke ,resecured wheel chair strap ,TL,27,Delay>15mins,2500,equipment furnishings general
9701,B737-700,capt s o2 mask microphone inop emp 159421 is invalid emp 02556 for sceptre entry only ,replaced observers o2 mask ref amm 35 12 85 000 802 cksnormal rotable parts change was indicated tt 1669089 sn off 01216mask oxygen c off 99 3512 9 9001 1216 on 99 3512 9 9001 7287,TF,14,Delay 6-15mins,2500,equipment furnishings general
9702,B737-700,aft pbe cover missing ,replaced pbe cover ,TL,4,Delay 0-5mins,2500,equipment furnishings general
9703,B737-700,back and bottom seat cushion and belt at 29e wet ,removed and replaced seat cushion and seatbelt assembly back is ok ok to continue ,TA,4,Delay 0-5mins,2500,equipment furnishings general
9704,B737-700,door 1r girt bar clips are loose ,secured clips ,TA,7,Delay 6-15mins,2500,equipment furnishings general
9705,B737-700,flt attendant closet handle broken first class ,secured closet handle employee u008704 used for input only ,TA,48,Delay>15mins,2520,passenger compartment
9706,B737-700,saet 31d has roken tray table latch,r and r per cmm 25 27 46 ops check good,TA,14,Delay 6-15mins,2520,passenger compartment
9739,B737-700,25d traytable latch broken,replaced latch,TL,10,Delay 6-15mins,2500,equipment furnishings general
9740,B737-700,coffee maker 419 does not brew ,remove replace coffeemaker 419 ops check good placard removed rotable parts change was indicated tt 1711633 sn off 00184coffeemaker a off 29 2599 9 0001 0184 on 29 2599 9 0001 8506,TL,12,Delay 6-15mins,2500,equipment furnishings general
9741,B737-700,bin 12 d will not latch ,replaced overhead bin latch bin door secures normally in the closed position ,TL,21,Delay>15mins,2500,equipment furnishings general
9742,B737-700,seatback 2b stay upright,found ok tedted good at this time,TL,14,Delay 6-15mins,2500,equipment furnishings general
9743,B737-700,overhead bin inop ,secured overhead bin ops checks normal ,TA,31,Delay>15mins,2500,equipment furnishings general
9744,B737-700,gte rtn for slidepack 1l coming open on pushback ,resecured 1l slidepack bussel per amm 25 66 01 ops check normal no defects noted on slide pack idt 40099,TA,65,Delay>15mins,2500,equipment furnishings general
9789,B737-700,aft cargo door open handle stiff to open,lude open door handle shaft ,TA,7,Delay 6-15mins,2500,equipment furnishings general
9790,B737-700,aft f a overhead bin locked with luggage inside,r r latch and lock assy ops checks good ,TF,7,Delay 6-15mins,2500,equipment furnishings general
9791,B737-700,fwd galley water leak in coffee maker,cycled coffee maker ops checks normal no leaks noted,TL,12,Delay 6-15mins,2500,equipment furnishings general
9792,B737-700,at fl370 there is a loud high pitch squeal coming from the fwdleft and right window area ,ref form 44 008 log pag 8145906 removed and reinstalled both capt du fd panel capt seat to ficilitate mx removed and cleanedventilation screen on vent hose ops check good ref m m 25 11 0131 62 11 31 21 21 performed land verify ops check good ref 22 11,TF,23,Delay>15mins,2500,equipment furnishings general
9793,B737-700,capts yoke flight number light inop ,removed and replaced capts yoke trip reminder ref ipc 33 11 51 04,TF,12,Delay 6-15mins,2500,equipment furnishings general
9794,B737-700,position 410 foot step aft galley does not retract ,removed and replaced foot step okay for svc removed o i l ,TF,8,Delay 6-15mins,2500,equipment furnishings general
9795,B737-700,24b life vest container is missing,replaced life vest and container okay to cont,TF,4,Delay 0-5mins,2500,equipment furnishings general
9796,B737-700,flight deck jumpseat stuck in stowed position,discrepancy previously corrected by employee u172374 at ord ref l p 8562955 p c w and placard was removed in ord ,TL,8,Delay 6-15mins,2500,equipment furnishings general
9850,B737-700,ref log page 8145451 orginal log page used on anotheracft f os seat lumbar control hanlde broken ,installed new lumbar control hand wheel in out p n 29 2511 3 0075 ref cmm 25 11 02 op s check good placard removed ,TF,32,Delay>15mins,2500,equipment furnishings general
9851,B737-700,pbe cover missing in aft cabin,replaced pbe cover ,TA,32,Delay>15mins,2500,equipment furnishings general
9852,B737-700,door 2r flight attendants report taht the slide looks loke itsnot packed properly please inspect ,removed and replaced door 2r slide pack ref task amm 737 789 task 25 66 01 400 801 rotable parts change was indicated tt 1674613 sn off 00344ipc reference slide b737ng off 29 2561 9 0004 3344 on 29 2561 9 0004 3477,TL,34,Delay>15mins,2500,equipment furnishings general
9853,B737-700,mel d lavatory door will not stay closed ,secured door mel c n 729197 remains ,TL,15,Delay 6-15mins,2500,equipment furnishings general
9854,B737-700,cocpit door difficult to open adn close gii259e employee is inactive u234615,adjusted flightdeck door task 52 52 02 700 801c1 ops check good,TA,67,Delay>15mins,2500,equipment furnishings general
9855,B737-700,seat 23d is a rocker ,replaced hydroloc ops checks ok mel removed ,TA,72,Delay>15mins,2500,equipment furnishings general
9856,B737-700,f o s oxygen mask inflater leaks,ref l p 838840 for sign offpla removed,TA,89,Delay>15mins,2500,equipment furnishings general
9857,B737-700,tray table at 29f will not stay up and stowed latch ismissing ,replaced latch for tray table at 29f removed pla c n 757190 ,TL,14,Delay 6-15mins,2500,equipment furnishings general
9858,B737-700,cup holder missing on captain side ,replaced cup holder,TL,25,Delay>15mins,2500,equipment furnishings general
9859,B737-700,cart pos 108 brake inop ,removed galley cart from aircraft replaced with new galley cart okay for service by u105576 ,TF,22,Delay>15mins,2500,equipment furnishings general
9886,B737-700,r1 door slide lower lacing retaining pin pulled out ,removed and replaced r1 door slide assembly iaw amm 25 66 01 400 803 and 25 66 01 400 801 complied with render safe checklist46 0035 rotable parts change was indicated tt 1610864 sn off 00508ipc reference slide b737ng off 29 2561 9 0003 3508 on 29 2561 9 0003 3180,TL,118,Delay>15mins,2500,equipment furnishings general
9887,B737-700,seat 22c will not stay upright ,replaced hydro lock ops work normal ,TL,35,Delay>15mins,2500,equipment furnishings general
9926,B737-700,aft left f a jumpseat won t fully retract ,replaced broken torsion springs at aft l h f a jumpseat placardremoved,TL,9,Delay 6-15mins,2500,equipment furnishings general
9927,B737-700,aft galley oven 2 knob missing,installed new knob ops normal pla removed ,TF,26,Delay>15mins,2500,equipment furnishings general
9928,B737-700,f o communication panel not secured causes communication interuptions andstatic,swapped f o and obs to original positions r r f o s acp ref amm23 51 02 ops checks good m e 29 2351 9 0003 off 3166 on 9449rotable parts change was indicated tt 1687395 sn off 03166panel audio se off 29 2351 9 0003 3166 on 29 2351 9 0003 9449,TF,36,Delay>15mins,2500,equipment furnishings general
9929,B737-700,door 1r slide pack coming out of the door repeat write up ,removed and replaced 1r door slide assembly per mm 25 66 01 400 801and 25 66 01 000 804 insp 03213 rotable parts change was indicated tt 1671039 sn off 03540slide b737ng off 29 2561 9 0003 3540 on 29 2561 9 0003 3550,TA,0,Cancellation,2500,equipment furnishings general
9930,B737-700,f o vertical seat adjustment inop ,removed replaced f o s seat assembly i a w amm 25 11 01 000 801and 25 11 01 400 801 ops checks normal idt by qc269 rotable parts change was indicated tt 1554572 sn off 01147seat crew 1st off 29 2511 9 0001 1147 on 29 2511 9 0001 2883,TA,60,Delay>15mins,2500,equipment furnishings general
9931,B737-700,tray table latch at 31e is broken off,installed new latch assembly 31e ops ckd normal placard removed ,TL,14,Delay 6-15mins,2520,passenger compartment
9932,B737-700,f a sez all 4 resuscitation mask in jumpseats wrong type ,rpl cpr masks with correct type ref 25 00 00 ,TA,24,Delay>15mins,2560,emergency equipment
9933,B737-700,1r door slide raft sits in low postion ,replaced slide ref amm25 66 01 rii inspected by 015228 m a rotable parts change was indicated tt 1610864 sn off 01302slide b737ng off 29 2561 9 0003 3180 on 29 2561 9 0003 3540,TA,13,Delay 6-15mins,2560,emergency equipment
9934,B737-700,door 1r slide pack near girt bar partially protruding aftercatering closed the door,removed and repaced r1 door slide per a m m 25 66 01 0400 803and 25 66 01 000 801 performed render safe check list ops chknormal ,TL,164,Delay>15mins,2560,emergency equipment
9935,B737-700,slide 1l out of position e1312 1l log entered by 163793 sceptre computer indicates employee number is invalid ,replaced l1 door escape slide pack per b737 789 amm task 25 66 01 000 803 escape slide pack checked per b737 789 amm task 25 66 01 200 802 inspected by c5098 work accomplished by v892850 sceptre computer indicates employee number is invalid rotable parts change was indicated tt 1671616 sn off 03275slide b737ng off 29 2561 9 0003 3275 on 29 2561 9 0003 3507,TP,0,Cancellation,2560,emergency equipment
9980,B737-700,aft galley cart latch is loose 409,replaced helicoil pos 409 and latch assembly ref ifm 25 32 01 ops check normal placard removed ,TF,13,Delay 6-15mins,2500,equipment furnishings general
9981,B737-700,latch for overhead bin at row 24 is inop ,installed 24def overhead bin latch screwsoverhead bins 24 25 def op check good,TL,33,Delay>15mins,2500,equipment furnishings general
9982,B737-700,at seat 28e tray table latch missing,replaced t t latch and reinstalled tray table gnd check ok plaremoved ,TL,12,Delay 6-15mins,2500,equipment furnishings general
9983,B737-700,10c tray table latch broken ,replaced tray table latch okay to continue ,TL,33,Delay>15mins,2500,equipment furnishings general
9984,B737-700, for tdr purposes only maa from tomc deferral mgt to address the mel onl p 7504579 for seat 10d 11d 11e 11f inoperable due to seat 10dwill not stay upright , for tdr purposes only denmx was unable to clear mel l p 7504579 which caused the flt1740 to be delayed ,TF,19,Delay>15mins,2500,equipment furnishings general
9985,B737-700,seat 10d will not stay upright ,removed and replaced hudrolock and hydrolock bushing ops check good placard removed ,TF,44,Delay>15mins,2510,flight compartment equipment
