,problem_log,cos_similarity,corrective_action
26,crew report forward aft lavatory door willnot close due to hengedamage samc text w0 15121306 tomc bilski ,0.26207120918047994, adjusted latch on lav ops check goo d opblm annichiarico opblm stone dan
27,evac horn going off,0.24019223070763096, reset cids 1 and 2 ops check normal
28,evac horn going off,0.24019223070763096, reset cids 1 and 2 ops check normal
29,evac horn going off,0.24019223070763096, reset cids 1 and 2 ops check normal
30,evac horn going off,0.24019223070763096, reset cids 1 and 2 ops check normal
31,26dec cle df t 22e will not stayupright prog text item rolled forward ,0.24140227479263418, placarded seat 22e block ed seats 23e and 23f per ddp 27dec opb cqt seat 22e secured upright seats 23e and 23f are now usable changing mel to 2521z for rec line function at seat 22e inop tomc krown 26dec15 27dec ord inf locked seat back in the upright position seat recline is not functioinal seat is usabl e seat 21e and 23e are usable 
32,trim piece missing belowsecond jumpseat,0.32097036938318524, item not required ref am m 25 66 00 and amm 25 66 52 920 001 a 
33,aft pit actuators inoperable will not maintain p ressure door will not open past over center position by 105576 t s aft pit door issue manual hyd pump is bypassing on order aog ref ipc 52 36 11 01 pg 02 of 02 item 001 amm52 35 11 000 001 a pg 5 of 5 cont of amis item 2692001,0.38527900734422976, door operation normal wit h hand pump
34,accomplish rii inspection of amis item 5682012 replaced right aft escape slide per mm25 62 44 400 006 a ,0.2938873433482584, verified pn and installa tion per amm
35,22dec bzn df q crew report seatbelt at 34e is covered with baby vomit samc text w o 15122224,0.3138229572304244, removed soiled seat belts def sea t per mel installed placard do not occupy berg tomc 
36,f o side hand holdabove windscreen entire panel and handhold loose,0.1923076923076925, removed and resecured o h panels
37,door 1r demo equipmentbag missing equip ,0.22739701341354912, replaced missing demo equ ipment from door 1r 
38,fwd galley garbage door flap handle wont stayclosed ,0.27551938438899226, secured door for aft lavatory trash door not fwd 
39,screw is missing onleft panel in frontof cap tiller,0.324324652449487, secured fastener ref ipc 25 13 01 14d 
40,09sep iah df t fwd galley red shelflatch broken ,0.16012815380508735, secondary latch is broken placed forward galley work table on df per mel 2522ef installed s ticker removed table and put in ron hold df525 09sep iah inf will need new insert inst alled for secondary latch 09sep iah inf ref ipc 25 31 01 07c 
41,overhead panel frontcockpit door loose prog text cnx item per ordfo lofman sd,0.3140371465106644, secured panel
42,16jun ewr df t ramp report forward nesting inop by 106610,0.24426357542638047, complied with mel 
43,18aug ord df t overhead bin 7abcwill not latch ,0.16012815380508735, rendered ooverhead bin in op at 7abc per mel 25151
44,10jul ewr df t bottom latch on trashbin on galley 401 isbroken,0.1698415551216896, complied with mel forward galley trash bin door 104 lower latch spring is inoperable but still will latch upper latch is normal and door is closed and secure taped over and placarded waste bin receptacle inop do not use 11jul sat inf latch sticking needs lat ch pcn 028 5026
45,19dec ord cf t capt cubby hole wherethe headset plugs inis not secure ,0.20965696734438397, performed interim repair pnl secured ref gmm 05 30 06 and ipc 25 13 01 01a 
46,trash lid in rear galley is stuck closed,0.228802157661215, secured hardware to reali gn lid ops normal
47,19nov iah df t aft galley compartment sliding door missing,0.3163585196986784, placed aft galley compartment d oor on df missing 19nov opb inf next sta pls id all parts required to return to proper configuration 
48,door pressr gauge at1l is low,0.1698415551216896, checked bottle pressure per amm 25 62 00 bottle pressure ok 
49,right pilot table has a trim piece ready to fall off on the front needs reattachment ,0.24445885613079696, tightend screw on first officers sliding table end cap 
50,07jun dca df t l aft cabin displayed on upper ecam screen door crew comments during cruise got occnl door l aft cabin ecams complied with mel instruc tions,0.38397382389415263, 10jun sfo rdf r adjusted l aft door prox sensor 15wv1 indication checks good on ground reopened by opblm christensen roger on 10jun15 for fault reoccurred
51,05jul yvr df q security kit and or associated equipment incomplete or missing samc text update mel 2565e applied with flightcrew tomc hill deferred per samc,0.321983803971138, 05jul sfo rpl replaced security kit 
52,window shade at 27a does not close ,0.2278663575938253,repositioned shade at 27a checks good 
53,water leaking f c galleyblock 4 invalid emp 143943,0.30024028838453876,cycled brew cycle no leaks noted 
54,door 2l slide is falling out of door cover entered into sceptre for invalid employee u234597 ,0.33355055938006706,replaced l 2 door slide assembly ref boeing 737 7 8 9 amm25 66 01 400 801 rotable parts change was indicated tt 1711902 sn off 00622slide b737ng off 29 2561 9 0004 3622 on 29 2561 9 0004 3339
55,door 2l girt bar has an unfamiliar strap hanging loose ,0.24019223070763093,replaced dr 2l slide emergency ref amm 25 66 01 400 801 25 66 01 400 803 tim vickery u093019 rii by 181404 rotable parts change was indicated tt 1711403 sn off 00339ipc reference slide b737ng off 29 2561 9 0004 3339 on 29 2561 9 0004 3502
56,emergency locator transmitter elt 1l placard is marked up ,0.25243908214870103,removed and replaced elt placard as required
57, for delay reporting purposes only ,0.26874192494328536,juf sent
58,aft galley coffee maker leaking entered into sceptre for employee 0080038 ,0.6059750085240416,stopped water leaking from hot water tank vent coffeemakerops check normal 
59,seat cushion 7fwetwrote by b5091u333039 for sceptre entry only,0.23372319715296258,removed and replaced cushions 7def a c okay for service 
60,fwd cargo aft net missing 1ea upper latch ,0.3004626062886663,removed installed serviceable forward cargo aft net ops check good no faults noted dip closed 
61,wire coming out of slide at door 1l when door closed,0.35058479572944373,found landyard detatched from girt bar reattached restowed a c okay to continue
62,right aft lavatory door fell off hinge ,0.2655425022718976,resecured door at right aft lav ops check normal 
63,seat row 32b life vest box fell from seat,0.1689815923548439,installed lifevest box and single cell life vest on seat 32bmel removed 
64,aft right coffee maker leaking,0.6202627719584913,r and r coffeemaker ops check good no leakage noted ref amm 25 30 00
65,slide pack at 1r has loose wire hanging out on left side,0.2338821384818748,r r 1r slide pack per task 25 66 01 400 803 and task 25 66 01 000 801rotable parts change was indicated tt 1672461 sn off 03312slide b737ng off 29 2561 9 0003 3312 on 29 2561 9 0003 3342
66,both lavatory doors in rear cabin do not close when exiting ,0.2731154967995679,replaced center hinge ops checks ok 
67,tray table 29a inop ,0.16012815380508735,replaced tray table latch 29a ops check good reinstalled tray table placard removed 
68,aft entry door l 2 door silde assy removed saftey pin installed to perform mx ref log 8022631,0.30197858698510216,installed aft enrty door slide assy ref amm 25 66 01 400 803 saftey pin removed stowed with side idt by emp 09555
69,f o fwd aft seat adjustment level has a broken tensionspring,0.27551938438899226,removed seat f o side to replace forward and aft handle springsper amm 25 11 51 400 001 seat ops checks normal
70,f o seat wont adjust up or down,0.1961161351381843,removed and replaced f o seat i a w a m m 25 11 01 400 801 and installed per a m m 25 11 01 000 801 ops check normalrotable parts change was indicated tt 1555621 sn off 09856seat crew 1st off 29 2511 9 0001 9856 on 29 2511 9 0002 7473
71,coffee maker 420 will not shutoff ,0.5837134789151175,replaced coffee maker by u046390 menglertrotable parts change was indicated tt 1886828 sn off 02599coffeemaker a off 29 2599 9 0001 0177 on 29 2599 9 0001 5906
72,coin flooring under cockpit door is torn entered for emp 10289 ,0.3938631807216889,performed loincoin permanent repair at cockpit entry hallway asper ecra 2533 01009 rev a okay to continue
73,30d plastic aisle trim sticking out and damaged item entered for file 168080,0.283806739400026,removed and replaced 30d aisle trim ops check ok
74,seat cushion 12b needs to be replaced log entered by g024193 sceptre computer indicates employee number is invalid ,0.33968311024337916,replaced cushion and cover
75,aed indicator not visible ,0.13867504905630748,reposition aed and visible iaw amm 25 64 01 okay for service security seal applied airdyne aero services contract mech faanumber 3083370 block 13 employee number is v897681 but shows invalid u181116 entered for electronic sceptre only 
76, 211 big quarter turn ,0.16012815380508735,complied with mel cart is to remain empty 
77,seat 27c needs new seat cushion cover,0.3138229572304244,replaced 27c seat cushion contract mech faa 367437 block 13 employee 3637437 shows invalid entered by u085236
78,seat cushion 24f needs replaced ,0.18490006540840997,r r seat bottom and cover iaw amm 25 20 00 24f 
79,removed r2 slide from door and removed slide from slidepack iaw amm 25 66 01 000 801,0.18490006540840997,performed slide pack check iaw amm 25 66 00 200 802 no damagenoted installed into pack and reinstalled on a c iaw amm 25 66 01 400 804 form 46 0035 completed 
80,glarshield on captain side needs securing by v154600,0.2894143807081534,resecured glareshield
81,1b seat back broken ,0.08006407690254368,resecured loosed bolt checks good 
82,chelsea r 1 slide girt bar fell out of retainer clips ,0.26207120918047994,visually inspected slide for security no faults noted okay forservice ref amm task 25 66 01 200 802 rii 05763 
83,ref l p 8262062 l 1 door girt bar retaining bracket loose ,0.27551938438899226,complied with ecra 2560 02837 part 3 permanent repair
84,fwd coat closet door has reinforcement strip torn loose behindoperating handle ,0.35700277364770877,replaced forward closet door rmvd from mel 
85,outb in flight reports r2 door slide pack cover is not flush with door ,0.30697030675746073,ref lp 4949637 removed slide pack from door and inspected for damage none noted reinstalled slide pack per amm 25 66 01 checks good 
86,cable is loose from slide at door il ,0.17764623667373125,found cable fitting out of aft loop on lower door re installedfitting thru loop and secured with string iaw m m25 66 01 400 804 inspected by u166250 
87,1 pob was used from the a c back ,0.18490006540840997,replaced pob bottle 
88,for tdr purposes only38c dirty seat cushion,0.20801257358446124,r r 38c seat cushion checked good 
89,ref log pg 7993618 check tape security on ceiling pnl aft of flightdeck door per ecra 2500 03978 part 2 ,0.35700277364770877,accomplished check of tape security on ceiling pnl ref ecra 2500 03978 part 2 found secure one time aw a005552
90,window shade 29a inop,0.1698415551216896,repaired window shade at seat 29a
91,overhead bin over row 8 aircraft left is broken ,0.2025478734167336,installed overhead bin door iaw b737 amm 25 24 36
92,emerg slide at door 2l is extending out of housing,0.23693523616867607,removed and replaced door 2l escape slide pack ref amm 25 66 01 400 804rotable parts change was indicated tt 1805674 sn off 03461slide b737ng off 29 2561 9 0004 3461 on 29 2561 9 0004 3342
93,first officers oxygen mask harness will not inflate,0.28867513459481337,reinstalled f o o2 mask with observers replaced f o o2 maskleak check and op s check normal rotable parts change was indicated tt 1768287 sn off 04340mask oxygen c off 99 3512 9 9001 4340 on 99 3512 9 9001 2769
94,5 inch rubber seal come off the bulkhead around 2l,0.3209703693831852,secured aft galley interior rubber seal by bulkhead 2l per amm 25 31 00op check ok
95,r 2 slide not tucked into cover,0.32097036938318524,removed and replaced r 2 slide assembly ref amm 25 66 01rotable parts change was indicated tt 1720200 sn off 00537ipc reference slide b737ng off 29 2561 9 0004 3537 on 29 2561 9 0004 3156
96,verbal from flightattn 30d tray table falls down ,0.2020475485519277,secured 30d tray table latch 
97,captain seat height adjustment inop wire sheared to adjustment lever,0.25715142542972613,removed and replaced captains seat per amm 25 11 01 400 801 ops check good ipc ref 25 11 01 50a rotable parts change was indicated tt 1556902 sn off 01953seat crew cap off 29 2510 9 0001 1953 on 29 2510 9 0001 1023
98,aft cargo netting 1 net anchor is broke ,0.289682729751161,replaced aft cargo net log closed work performed by 86329
99,capt seat vertical lock only in one pos ,0.25423758993656376,replaced vertical adjustment spring on ca s seat as required ops check good ref ipc 25 11 01 53
100,on board wheel chair restraint strap is broke ,0.2542375899365637,resecured wheel chair strap 
101,capt s o2 mask microphone inop emp 159421 is invalid emp 02556 for sceptre entry only ,0.2973505167250267,replaced observers o2 mask ref amm 35 12 85 000 802 cksnormal rotable parts change was indicated tt 1669089 sn off 01216mask oxygen c off 99 3512 9 9001 1216 on 99 3512 9 9001 7287
102,aft pbe cover missing ,0.3637664186342766,replaced pbe cover 
103,aft pbe cover missing ,0.3637664186342766,replaced cover per ecra 2560 01998 to pbe box m bees 95775
104,back and bottom seat cushion and belt at 29e wet ,0.18156825980064098,removed and replaced seat cushion and seatbelt assembly back is ok ok to continue 
105,door 1r girt bar clips are loose ,0.16537964611894482,secured clips 
106,flt attendant closet handle broken first class ,0.2864459496157735,secured closet handle employee u008704 used for input only 
107,saet 31d has roken tray table latch,0.16012815380508735,r and r per cmm 25 27 46 ops check good
108,25d traytable latch broken,0.13867504905630748,replaced latch
109,coffee maker 419 does not brew ,0.5947617141331815,remove replace coffeemaker 419 ops check good placard removed rotable parts change was indicated tt 1711633 sn off 00184coffeemaker a off 29 2599 9 0001 0184 on 29 2599 9 0001 8506
110,bin 12 d will not latch ,0.1790287185098585,replaced overhead bin latch bin door secures normally in the closed position 
111,seatback 2b stay upright,0.16012815380508735,found ok tedted good at this time
112,overhead bin inop ,0.10741723110591508,secured overhead bin ops checks normal 
113,gte rtn for slidepack 1l coming open on pushback ,0.35529247334746267,resecured 1l slidepack bussel per amm 25 66 01 ops check normal no defects noted on slide pack idt 40099
114,aft cargo door open handle stiff to open,0.228802157661215,lude open door handle shaft 
115,aft f a overhead bin locked with luggage inside,0.21398024625545678,r r latch and lock assy ops checks good 
116,fwd galley water leak in coffee maker,0.5904725671562596,cycled coffee maker ops checks normal no leaks noted
117,at fl370 there is a loud high pitch squeal coming from the fwdleft and right window area ,0.3623715376697399,ref form 44 008 log pag 8145906 removed and reinstalled both capt du fd panel capt seat to ficilitate mx removed and cleanedventilation screen on vent hose ops check good ref m m 25 11 0131 62 11 31 21 21 performed land verify ops check good ref 22 11
118,capts yoke flight number light inop ,0.27850332594800875,removed and replaced capts yoke trip reminder ref ipc 33 11 51 04
119,position 410 foot step aft galley does not retract ,0.16012815380508735,removed and replaced foot step okay for svc removed o i l 
120,24b life vest container is missing,0.4085752815378842,replaced life vest and container okay to cont
121,flight deck jumpseat stuck in stowed position,0.20254787341673364,discrepancy previously corrected by employee u172374 at ord ref l p 8562955 p c w and placard was removed in ord 
122,ref log page 8145451 orginal log page used on anotheracft f os seat lumbar control hanlde broken ,0.35897435897435936,installed new lumbar control hand wheel in out p n 29 2511 3 0075 ref cmm 25 11 02 op s check good placard removed 
123,pbe cover missing in aft cabin,0.3362691229906834,replaced pbe cover 
124,door 2r flight attendants report taht the slide looks loke itsnot packed properly please inspect ,0.28758988588620477,removed and replaced door 2r slide pack ref task amm 737 789 task 25 66 01 400 801 rotable parts change was indicated tt 1674613 sn off 00344ipc reference slide b737ng off 29 2561 9 0004 3344 on 29 2561 9 0004 3477
125,mel d lavatory door will not stay closed ,0.2542375899365637,secured door mel c n 729197 remains 
126,cocpit door difficult to open adn close gii259e employee is inactive u234615,0.2732187215579495,adjusted flightdeck door task 52 52 02 700 801c1 ops check good
127,seat 23d is a rocker ,0.1961161351381843,replaced hydroloc ops checks ok mel removed 
128,f o s oxygen mask inflater leaks,0.25318484177091705,ref l p 838840 for sign offpla removed
129,tray table at 29f will not stay up and stowed latch ismissing ,0.28380673940002604,replaced latch for tray table at 29f removed pla c n 757190 
130,cup holder missing on captain side ,0.32225169331774517,replaced cup holder
131,cart pos 108 brake inop ,0.228802157661215,removed galley cart from aircraft replaced with new galley cart okay for service by u105576 
132,r1 door slide lower lacing retaining pin pulled out ,0.2686065556235552,removed and replaced r1 door slide assembly iaw amm 25 66 01 400 803 and 25 66 01 400 801 complied with render safe checklist46 0035 rotable parts change was indicated tt 1610864 sn off 00508ipc reference slide b737ng off 29 2561 9 0003 3508 on 29 2561 9 0003 3180
133,seat 22c will not stay upright ,0.1790287185098585,replaced hydro lock ops work normal 
134,aft left f a jumpseat won t fully retract ,0.1698415551216896,replaced broken torsion springs at aft l h f a jumpseat placardremoved
135,aft galley oven 2 knob missing,0.24019223070763096,installed new knob ops normal pla removed 
136,f o communication panel not secured causes communication interuptions andstatic,0.3589743589743595,swapped f o and obs to original positions r r f o s acp ref amm23 51 02 ops checks good m e 29 2351 9 0003 off 3166 on 9449rotable parts change was indicated tt 1687395 sn off 03166panel audio se off 29 2351 9 0003 3166 on 29 2351 9 0003 9449
137,door 1r slide pack coming out of the door repeat write up ,0.2874830780176815,removed and replaced 1r door slide assembly per mm 25 66 01 400 801and 25 66 01 000 804 insp 03213 rotable parts change was indicated tt 1671039 sn off 03540slide b737ng off 29 2561 9 0003 3540 on 29 2561 9 0003 3550
138,f o vertical seat adjustment inop ,0.1790287185098585,removed replaced f o s seat assembly i a w amm 25 11 01 000 801and 25 11 01 400 801 ops checks normal idt by qc269 rotable parts change was indicated tt 1554572 sn off 01147seat crew 1st off 29 2511 9 0001 1147 on 29 2511 9 0001 2883
139,tray table latch at 31e is broken off,0.2025478734167336,installed new latch assembly 31e ops ckd normal placard removed 
140,f a sez all 4 resuscitation mask in jumpseats wrong type ,0.2567762955065482,rpl cpr masks with correct type ref 25 00 00 
141,1r door slide raft sits in low postion ,0.21726204731337076,replaced slide ref amm25 66 01 rii inspected by 015228 m a rotable parts change was indicated tt 1610864 sn off 01302slide b737ng off 29 2561 9 0003 3180 on 29 2561 9 0003 3540
142,door 1r slide pack near girt bar partially protruding aftercatering closed the door,0.27453999423895376,removed and repaced r1 door slide per a m m 25 66 01 0400 803and 25 66 01 000 801 performed render safe check list ops chknormal 
143,slide 1l out of position e1312 1l log entered by 163793 sceptre computer indicates employee number is invalid ,0.35035637690028937,replaced l1 door escape slide pack per b737 789 amm task 25 66 01 000 803 escape slide pack checked per b737 789 amm task 25 66 01 200 802 inspected by c5098 work accomplished by v892850 sceptre computer indicates employee number is invalid rotable parts change was indicated tt 1671616 sn off 03275slide b737ng off 29 2561 9 0003 3275 on 29 2561 9 0003 3507
144,aft galley cart latch is loose 409,0.2001601922563592,replaced helicoil pos 409 and latch assembly ref ifm 25 32 01 ops check normal placard removed 
145,latch for overhead bin at row 24 is inop ,0.1698415551216896,installed 24def overhead bin latch screwsoverhead bins 24 25 def op check good
146,at seat 28e tray table latch missing,0.24426357542638047,replaced t t latch and reinstalled tray table gnd check ok plaremoved 
147,10c tray table latch broken ,0.16012815380508735,replaced tray table latch okay to continue 
148, for tdr purposes only maa from tomc deferral mgt to address the mel onl p 7504579 for seat 10d 11d 11e 11f inoperable due to seat 10dwill not stay upright ,0.28799106933337243, for tdr purposes only denmx was unable to clear mel l p 7504579 which caused the flt1740 to be delayed 
149,seat 10d will not stay upright ,0.1790287185098585,removed and replaced hudrolock and hydrolock bushing ops check good placard removed 
150,seat 10d will not stay upright ,0.1790287185098585,found recline cable off hydrolock reattached recline ops cksnormal mel removed
151,capitain seat slide release jams,0.18156825980064098,lubed seat ops checks normal per amm 25 11 01
152,life raft at 2r is sagging out of container,0.3925464331383303,rotable parts change was indicated tt 1717716 sn off 03205slide b737ng off 29 2561 9 0004 3205 on 29 2561 9 0004 3138
153,blood pressure kit opened,0.11322770341445974,replaced blood pressure kit ref gmm05 20 40
154,emergency sign cover over row 15 fell off ,0.3081667756806832,emergency sign re installed 
155,captains safety harness buckle right shoulder strap released on take off strap wont lock in harness buckle,0.34179953639073796,replaced capts seat belt buckle ref amm 25 11 00 ops normal
156,seat 32d soiled rep by 211052,0.11322770341445974,found seat cover only soiled replaced same as reqperf by v902127
157,splashguard coffeee maker 105 detached,0.5662564503132558,attached splash guard 25 30 00
158,stowbin trim panel above seat 7d loose ,0.18681617943926854,repaired trim panel
159,seat cushion 12e needs replacement 01535 for entry only g9142 no good in sceptre ,0.28823067684915715,replaced seat cushion 
160,coffeemaker 419 overflows ,0.5490214034302331,removed and replaced coffeemaker 419 ops check good rotable parts change was indicated tt 1714791 sn off 01301coffeemaker a off 29 2599 9 0001 8313 on 29 2599 9 0001 2805
161,captain seat horizontal adjustment handle has broken spring hard to lock in place,0.2972227214629568,r r captains f o seat iaw amm 25 11 01 ops chk d good idt gr u247745rotable parts change was indicated tt 1568681 sn off 01563seat crew cap off 29 2510 9 0001 1563 on 29 2510 9 0001 6483
162,l aft lavatory missing ashtray ,0.21726204731337073,replaced missing ashtray 
163,over head bin 22 def latch broken ,0.1961161351381843,removed and replaced overhead bin latch at seat row 22def opscheck good mel removed
164,latch on overhead bin seat 1e is broken employee reporting u248493,0.27551938438899226,installed new o h bin door latch 1e ops ckd normal placard removed 
165,seat 25d is soiled cushion,0.1698415551216896,replace cushion and cover 25d per edocs seat chart 
166,first class lavatory coat hook is missing ,0.36028834606144644,replaced hook ops check ok removed placard 
167,12e armrest flops back into exit row,0.277350098112615,remoed and replaced arm rest roll pins ops check okay removed placard
168,removed slide pack from door 1r and placed in row 1 of firstclass per mm 25 66 01 000 801,0.2504177112353171,reinstalled slide at door 1r ref amm 25 66 01 400 801
169,moulding around left overwing exit has slipped down from itsnormal position,0.3020792700095998,resecured moulding around left overwing exit upper panel refamm 52 22 00 a c okay to continue
170,p6 4 cb protective metal strip is broken pilot report 000085w,0.24209101306752134,replaced placard placard support oil removed
171,seat 28e will not stay up ,0.1961161351381843,re installed recline button system test good placard c n762572 removed 
172,height adjustment on captains seat will not lock ,0.26688025634181217,see l p 7725414 for capts seat r r pla removed rotable parts change was indicated tt 1583663 sn off 06505seat crew cap off 29 2510 9 0001 6505 on 29 2510 9 0001 6440
173,l1 door slide has too much material hanging out,0.27551938438899226,removed slide cover and inspected slide no defects noted installed slide ref 25 66 01 400 803 aircraft okay to continue
174,door 1l slide falling ou the bottom of container unable to arm,0.37073364955723603,adjusted and resecured l1 door slide per amm 25 66 01 400 803 ops checks good a c okay to continue idt performed ua 42059
175,fwd first class lavatory light fixture missing end cap exposed wires ,0.2941742027072765,installed new light cover 
176,4 return air grilles removed for troubleshooting of low air flow ref log page 8269313,0.3235751144647175,secured grills 
177,the f os seatbelt is difficult to release the black knob appears to be commimg loose,0.21230194390211202,rmvd f os rh side lap belt pn 1150011 601 010 a11dec14 25 instld sn a13may13 65 in ref to ipeco cmm 25 11 02 ops check norm accomplished idt v898131 ap3683661
178,37a and 37l need new seat covers,0.29417420270727646,replaced seat covers and cushions per interior manual
179,tray table at 10c will not stay upright ,0.18490006540840997,removed and replaced latch assembly on seat 10c tray table now okfor service 
180,door 1l girt bar retaining clip when door is disarmed does nothold the girt bar in place,0.22684821789054038,removed slide corrected girt routing reinstalled slide ref amm 25 66 01 400 803 safety pin removed 
181,item entered for delay aft lavatory door of its track ,0.18490006540840997,juf entered
182,the bracket that holds the girt bar under the main entry soor slide pack when the slide is sisarmed is loose,0.19418390934515464,installed two new rivets to reattach girt bar clip ref srm 51 40 02
183,lav e door latch inop,0.13867504905630748,replaced lock assy ops checks ok
184,right aft lavatory door off trackemployee 25931,0.25318484177091705,reinstalled rt aft lavatory door no defects noted
185,headrest missing seat 10e ,0.24019223070763096,10e hread rest reinstalled okay for use 
186,seat 2b needs cushion,0.18490006540840997,replaced seat cover no further defects noted 
187,seat cushion 23csoiled,0.1698415551216896,replaced cushion and cover at23c
188,door 2r safty strap will not snap to bottm of door indiction door armed,0.17069718549972995,replaced r2 door red strap 
189,seat 28cseatback and bottom cushionneed to be replaced,0.2148344622118302,replaced seat bottom cushion and cover and had cabin svc cleanseat back
190,f o s audio selector pnl flightint sw lens missing,0.27551938438899226,replaced audio selector pnl at observers pos ops check normal ref amm 23 12 41 401rotable parts change was indicated tt 1673048 sn off 09695panel audio se off 29 2351 9 0003 9695 on 29 2351 9 0003 5569
191,loose panel on overhead above 28def,0.1698415551216896,installed correctly panel on overhead above 28def bin i a w a m m 25 24 31 400 801 mel removed 
192,door 1r slide girt bar very difficult to disarm,0.15544045708951484,removed door 1r slide assy refolded girt bar fabric andreinstalled 1r slide assembly ref amms 25 66 01 rii inspection accomplished by u093951 
193,seat cushion at seat 10b soiled block 4 sm245,0.18490006540840997,removed replaced seat cushion at seat 10b ops checks good a c okay for service block 13 sm245
194,seat 11d recline inop ,0.10741723110591508,replaced hydrolok at seat 11d seat ops checks normal placard removed
195,aft galley cart at 408 will not stow properly,0.24140227479263415,galley cart checked for properly operation and stowed good catering crew remove cart and reinstalled by them prior the nextfight 
196,seat 8d will not lock upright ,0.13867504905630748,removed and replaced seat 8d recline push button as requiredops check good
197,f o left shoulder strap does not retract automatically,0.24019223070763096,adjusted checks ok
198,seat 26c soiled,0.0,replaced cover 26c
199,seat bottom cushions and covers soiled 30b and 28c ,0.2995723447576395,replaced cushions and covers 30b and 28c 
